"","X.1","X","ID.personne.interrogée","ID.collecteur","Date.de.début","Date.de.fin","Adresse.IP","Âge","country","gender","past_chatt","past_streaming_video","past_robot","en_communication","en_programmation","en_gestion","en_organisation","prog_ennuyant","pratik_amel","meilleur_prog","plus_de_robotik","filles_moins_prog","aime_prog","prog_fun_team","robotik_interet","hard_robotik","hard_prog","useless_challenge","happy_help","good_team","serious_input","ask_adult","ask_teamate","student_help_robotik","influence_teamates","suggestions_followed","take_initiatives","solo_worker","split_work","unorganized_team","trained_forr2t2","J.utilise.mon.imagination","J.essaye.les.choses","J.utilise.l.environment.de.programmation.correctement","Je.vérifie.mon.travail","D.autres.m.ont.dit.que.j.étais.bon","Je.sais.programmer","Je.sais.taper.au.clavier","Je.parle.de.mes.idées.aux.autres","J.aime.programmer","Je.ne.sais.pas","Autres","Joyeuses","Sociables","Geek.nerds","Confientes","Sans.trop.d.amis","Intelligentes","Creatives","Quelqu.un.qui.va.reussir.dans.la.vie","Ennuyeuses","Autre..veuillez.préciser..1","Imaginatif","Essaye.les.choses","Utilise.l.environement.de.programmation.correctement","Vérifie.son.travail","Sait.programmer","Sait.taper","Discute.ses.idees.avec.les.autres","Aime.programmer","Je.ne.sais.pas.1","Communication.avec.les.autres.équipes","Supervision.du.streaming.vidéo","Programmation.du.robot.sur.place","Programmation.du.robot.à.distance","Communication.vers.l.exterieur..twitter..facebook..autres.","Coordination","Autre..veuillez.préciser..2","Ce.que.j.ai.le.plus.aimé.lors.de.cette.expérience","Ce.que.j.ai.appris.pendant.cette.expérience","Ce.que.je.n.ai.pas.aimé.et.devrait.être.amélioré","language"
"21",21,21,5073642804,93797230,"11/02/2016 15:52:48","11/02/2016 15:58:13","77.56.52.80",15,"Switzerland"," female",1,1,2,3,3,4,3,"1","3","3","4","1","3","4","4","2","3","2","4","4","4","3","4","3","3","2","3","1","2","3",1,NA,2,NA,4,NA,NA,7,8,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,"",NA,2,NA,4,5,NA,7,NA,NA,1,2,NA,NA,NA,NA,"","","","","french"
"22",22,22,5073642226,93797230,"11/02/2016 15:52:34","11/02/2016 15:52:52","212.55.221.162",15,"Switzerland","male ",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","french"
"23",23,23,5073641965,93797230,"11/02/2016 15:52:26","11/02/2016 15:57:49","212.55.221.162",16,"Switzerland","male ",1,1,2,3,4,3,2,"1","3","3","2","2","3","3","3","4","4","3","3","3","3","2","3","4","3","2","3","2","3","1",2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,"","","","","french"
"24",24,24,5073641373,93797230,"11/02/2016 15:49:04","11/02/2016 15:57:12","194.230.155.143",16,"Switzerland"," female",1,1,1,4,3,4,3,"1","4","3","4","1","4","4","3","3","3","1","3","4","3","1","4","4","4","3","3","2","3","1",2,1,2,3,4,5,6,7,8,9,NA,NA,1,2,3,4,5,6,7,8,9,"",1,2,3,4,5,6,7,8,NA,1,NA,3,4,5,6,"","Contact abec les autres","Programmer à distance","","french"
"25",25,25,5073638400,93797230,"11/02/2016 15:50:59","11/02/2016 15:56:55","153.109.1.90",21,"Switzerland","male ",1,1,1,2,4,3,2,"1","4","4","4","1","3","1","4","2","1","4","4","2","3","3","3","3","3","3","3","3","3","3",1,1,2,3,4,NA,6,7,8,9,NA,NA,1,2,3,4,5,6,7,8,9,"",NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,"","","","","french"
"26",26,26,5073636024,93797230,"11/02/2016 15:48:52","11/02/2016 16:01:32","77.56.52.80",15,"Switzerland"," female",2,2,1,2,3,3,3,"2","4","3","4","1","4","3","4","3","3","1","4","4","2","3","4","3","3","2","3","3","2","1",1,NA,2,NA,4,NA,NA,NA,NA,9,NA,NA,1,NA,NA,4,NA,6,NA,NA,NA,"",NA,2,NA,4,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,"","","","","french"
"27",27,27,5073626427,93797230,"11/02/2016 15:45:55","11/02/2016 15:50:04","153.109.1.90",12,"Switzerland","male ",1,1,1,3,3,NA,2,"1","4","2","4","2","3","4","4","1","1","1","4","4","4","4","4","4","3","4","4","1","3","1",2,1,2,NA,4,5,NA,NA,NA,9,10,NA,1,2,3,4,NA,6,7,8,NA,"",1,2,3,4,5,6,7,8,NA,1,NA,NA,4,NA,6,"","Programmer un robot a distance","Beaucoup de choses","Rien tout était bien","french"
"28",28,28,5073625486,93797230,"11/02/2016 15:44:05","11/02/2016 15:52:06","153.109.1.90",12,"Switzerland","male ",2,2,2,3,4,4,4,"1","4","3","4","1","3","3","4","2","2","1","4","3","3","4","3","3","3","3","4","2","1","2",2,NA,2,3,4,NA,NA,NA,8,NA,NA,NA,NA,NA,3,NA,5,6,7,NA,NA,"",1,2,3,NA,5,NA,7,8,NA,1,2,NA,4,5,6,"","pouvoir parler avec des gens dans un but precis et pas pour des discussions sans queue ni tete","j'ai appris a programmer des robots","","french"
"29",29,29,5073611556,93797230,"11/02/2016 15:39:59","11/02/2016 15:40:25","128.178.145.5",14,"Switzerland"," female",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","french"
"30",30,30,5072742627,93797230,"11/02/2016 05:47:37","11/02/2016 15:59:35","82.247.80.75",10,"France","male ",2,1,1,NA,3,2,3,"1","3","3","4","1","3","4","4","1","1","1","4","3","3","2","2","4","3","2","2","2","3","3",1,1,2,NA,NA,NA,6,7,NA,9,NA,NA,1,2,NA,4,5,NA,7,NA,NA,"",1,2,3,4,NA,NA,7,8,NA,1,NA,NA,4,NA,NA,"","Faire ce defi, trouver des solutions, decouvrir de nouvelles choses","J'ai appris a garer le thymio","rien","french"
"31",31,1,5080030006,93710474,"11/06/2016 18:17:23","11/06/2016 19:02:22","89.169.203.11",12,"Russia","male",1,1,1,4,4,4,4,"1","3","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","2","3","2","3","2",2,1,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,4,NA,6,"launch generator ","All","Communication with other teams","","english"
"32",32,2,5079032290,93710474,"11/05/2016 13:44:03","11/06/2016 08:50:16","5.35.85.234",11,"Russia","male",2,2,1,3,2,1,2,"1","3","2","3","NA","3","4","3","2","3","2","3","3","3","2","3","3","2","2","2","2","2","2",2,NA,2,NA,4,NA,6,7,8,9,NA,11,1,2,NA,4,NA,NA,NA,8,NA,NA,1,2,3,4,5,6,NA,8,NA,1,NA,NA,4,5,6,"","I liked most to work in team","I've learned Programming of robot"," I  liked all","english"
"33",33,3,5077880127,93710474,"11/04/2016 17:07:06","11/04/2016 17:12:40","31.173.85.127",12,"Russia","female",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","english"
